study	year	pubmed_link	first_author	last_author	animal_species	animal_strain	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	infection_route	treatment_route	vehicle	control_compound	compound	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_days_to_endpoint	treatment_sd	treatment_sem	treatment_n	control_days_to_endpoint	control_sd	control_n	delay	reported_p	eyeballed	comments
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796	Haviv		mice	FVB/N			wt	1	RML		0.01	30	i.c.	oral	water	water	simvastatin	2 mg/kg/day	2	2.0	11.4	72	death	survival	161.7	3.5		4	148.4	3.9	24	0.09		0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796	Haviv		mice	FVB/N			wt	1	RML		0.01	30	i.p.	oral	water	water	simvastatin	2 mg/kg/day	2	2.0	11.4	0	death	survival	243.0	11.2		10	226.4	34.3	10	0.07		0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796	Haviv		mice	FVB/N			wt	1	RML		0.01	30	i.p.	oral	water	water	simvastatin	20 mg/kg/day	20	20.0	113.5	0	death	survival	239.1	2.5		9	226.4	34.3	10	0.06		0	
Vetrugno 2009	2009	http://www.ncbi.nlm.nih.gov/pubmed/19282428	Vetrugno		mice	C57BL/6			wt	1	139A		0.01		i.c.	oral	water	water	pravastatin	200 mg/kg/day	200	200.0	1135.1	0	death	survival	194.3	7.5		13	177.4	4.4	10	0.10	0.0001	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	100	i.m.	i.m.	saline	none	doxycycline	10 mg/kg one-time				0	0	survival	355.0			11	217.0		11	0.64	0.031	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	100	i.m.	i.p.	saline	none	doxycycline	10 mg/kg per two days		5.0	47.3	0	40	survival	312.0			11	250.0		11	0.25	0.032	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	100	i.m.	i.p.	saline	none	tetracycline	10 mg/kg per two days		5.0	47.3	0	40	survival	330.0			11	250.0		11	0.32	0.028	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	100	i.m.	i.p.	saline	none	minocycline	10 mg/kg per two days		5.0	47.3	0	40	survival	453.0			11	250.0		11	0.81	0.004	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	100	s.c.	i.p.	saline	none	doxycycline	10 mg/kg per two days		5.0	47.3	4	44	survival	823.0			11	611.0		11	0.35	0.004	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	20	i.c.	i.c.	liposomes	none	doxycycline	25 ug/20 uL one-time				30	30	survival	134.0			11	122.0		11	0.10	0.023	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	20	i.c.	i.c.	liposomes	none	doxycycline	25 ug/20 uL one-time				60	60	survival	140.5			11	130.0		11	0.08	0.037	0	
Luigi 2008	2008		Luigi	Salmona	hamsters	Syrian			wt	1	263K	49	0.0001	20	i.c.	i.c.	liposomes	none	doxycycline	25 ug/20 uL one-time				60	60	survival	144.0			11	130.0		11	0.11	0.063	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.001	30	i.c.	oral	food	food	ibuprofen	100 mg/kg/day		100.0	567.6	100	death	survival	172.0	8.9		11	188.0	9.9	12	-0.09		0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.001	30	i.c.	oral	food	food	dapsone	16.75 mg/kg/day		16.8	95.1	100	death	survival	189.0	11.4		9	188.0	9.9	12	0.01	1	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.001	30	i.c.	oral	food	food	minocycline	200 mg/kg/day		200.0	1135.1	100	death	survival	178.0	5.7		17	175.0	8.4	17	0.02	1	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.001	30	i.c.	oral	food	food	curcumin	500 mg/kg/day		500.0	2837.8	100	death	survival	174.0	9.0		17	174.0	8.6	16	0.00	1	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.001	30	i.c.	oral	food	food	memantine	30 mg/kg/day		30.0	170.3	100	death	survival	196.0	11.7		8	181.0	7.2	8	0.08	0.01	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.0001	30	i.c.	oral	food	food	ibuprofen	100 mg/kg/day		100.0	567.6	100	death	survival	191.0	17.3		12	196.0	10.1	13	-0.03	1	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.0001	30	i.c.	oral	food	food	curcumin	50 mg/kg/day		50.0	283.8	100	death	survival	208.0	8.4		12	196.0	10.1	13	0.06	0.01	0	
Riemer 2008	2008		Riemer	Baier	mice	C57BL/6			wt	1	139A	35	0.0001	30	i.c.	oral	food	food	curcumin	500 mg/kg/day		500.0	2837.8	100	death	survival	192.0	9.7		14	192.0	9.2	16	0.00	1	0	
Caughey 2003	2003		Caughey	Baron	hamsters				wt	1	263K		0.01	50	i.c.	oral	food	food	curcumin	.2% wt/wt				-14	death	survival	85.3	4.0			82.6	3.9		0.03	1	0	
Caughey 2003	2003		Caughey	Baron	hamsters				wt	1	263K		0.01	50	i.c.	oral	food	food	curcumin	.2% wt/wt				0	death	survival	84.1	4.3			82.6	3.9		0.02	1	0	
Caughey 2003	2003		Caughey	Baron	hamsters				wt	1	263K		0.01	50	i.c.	oral	food	food	curcumin	.2% wt/wt				45	death	survival	83.5	4.1			82.6	3.9		0.01	1	0	
Caughey 2003	2003		Caughey	Baron	hamsters				wt	1	263K		0.01	50	i.c.	oral	food	food	curcumin	2% wt/wt				45	death	survival	85.4	4.7			82.6	3.9		0.03	1	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	1ug/kg/day		0.0	0.0	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	11ug/kg/day		0.0	0.1	10	38	survival	60.0				51.6	1.8		0.16	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	10	38	survival	80.0				51.6	1.8		0.55	0.05	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	10	38	survival	123.0				51.6	1.8		1.38	0.05	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	1ug/kg/day		0.0	0.0	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	11ug/kg/day		0.0	0.1	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	35	63	survival	87.0				51.0	1.8		0.71	0.05	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	42	70	survival	49.0				49.0			0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	230ug/kg/day		0.2	1.3	42	70	survival	63.0				49.0			0.29	0.05	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	345ug/kg/day		0.3	2.0	42	70	survival	49.0				49.0			0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	42	70	survival	49.0				49.0			0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	7	35	survival	75.0				47.0			0.60	0.01	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	21	49	survival	65.0				47.0			0.38	0.01	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	35	63	survival	55.0				47.0			0.17	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	110ug/kg/day		0.1	0.6	42	70	survival	47.0				47.0			0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	7	35	survival	122.0				47.0			1.60	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	21	49	survival	97.0				47.0			1.06	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	35	63	survival	80.0				47.0			0.70	0.05	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	460ug/kg/day		0.5	2.6	42	70	survival	47.0				47.0			0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	0.2 mg/kg/day		0.2	1.1	10	38	survival	52.1	2.1		4	51.0	1.8	4	0.02		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	2 mg/kg/day		2.0	11.4	10	38	survival	53.1	1.6		5	51.0	1.8	4	0.04		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	20 mg/kg/day		20.0	113.5	10	38	survival	23.8	16.5		5	51.0	1.8	4	-0.53		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	0.2 mg/kg/day		0.2	1.1	35	63	survival	51.8	1.8		4	51.8	2.0	4	0.00		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	2 mg/kg/day		2.0	11.4	35	63	survival	50.0	1.8		5	51.8	2.0	4	-0.03		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	s.c.	pbs	water	pentosan polysulfate	20 mg/kg/day		20.0	113.5	35	63	survival	40.4	3.1		5	51.8	2.0	4	-0.22		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	0.9ug/kg/day		0.0	0.0	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	9ug/kg/day		0.0	0.1	10	38	survival	64.0				51.6	1.8		0.24	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	90ug/kg/day		0.1	0.5	10	38	survival	64.0				51.6	1.8		0.24	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	860ug/kg/day		0.9	4.9	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	0.9ug/kg/day		0.0	0.0	35	63	survival	51.6				51.0	1.8		0.01	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	9ug/kg/day		0.0	0.1	35	63	survival	51.6				51.0	1.8		0.01	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	90ug/kg/day		0.1	0.5	35	63	survival	51.6				51.0	1.8		0.01	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	water	water	amphotericin b	860ug/kg/day		0.9	4.9	35	63	survival	51.6				51.0	1.8		0.01	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	.7 nmol/kg/day	0.7	0.0	0.0	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	7 nmol/kg/day	7	0.0	0.0	10	38	survival	51.6				51.6	1.8		0.00	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	60 nmol/kg/day	60	0.0	0.1	10	38	survival	51.6				51.6	1.8		0.00	0.01	0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	510 nmol/kg/day	510	0.2	1.2	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	5000 nmol/kg/day	5000	2.0	11.4	10	38	survival	51.6				51.6	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	50000 nmol/kg/day	50000	20.0	113.5	10	38	survival	30.0				51.6	1.8		-0.42		1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	.7 nmol/kg/day	0.7	0.0	0.0	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	7 nmol/kg/day	7	0.0	0.0	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	60 nmol/kg/day	60	0.0	0.1	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	510 nmol/kg/day	510	0.2	1.2	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	5000 nmol/kg/day	5000	2.0	11.4	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20	i.c.	i.c.	pbs	water	quinacrine	50000 nmol/kg/day	50000	20.0	113.5	35	63	survival	51.0				51.0	1.8		0.00	1	1	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg20	Fischer 1996	wt	10	RML		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	230 ug/kg/day		0.2	1.3	14	42	survival	141.0				65.0			1.17		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg20	Fischer 1996	wt	10	RML		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	230 ug/kg/day		0.2	1.3	49	77	survival	95.0				65.0			0.46		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg20	Fischer 1996	wt	10	Fukuoka-1		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	230 ug/kg/day		0.2	1.3	14	42	survival	153.0				106.0			0.44		0	
Doh-Ura 2004	2004		Doh-Ura	Iwaki	mice		Tg20	Fischer 1996	wt	10	Fukuoka-1		0.01	20	i.c.	i.c.	pbs	water	pentosan polysulfate	230 ug/kg/day		0.2	1.3	49	77	survival	133.0				106.0			0.25		0	
Manueldis 1998	1998		Manueldis	Zaitsev	rats				wt	1	SY		0.01	50	i.c.	oral	peanut butter	peanut butter	indomethacin	3 mg/kg/day		3.0		1	death	clinical signs	325.0			4	310.0		8	0.05	0.011	0	
Manueldis 1998	1998		Manueldis	Zaitsev	rats				wt	1	SY		0.01	50	i.c.	oral	peanut butter	peanut butter	indomethacin	3 mg/kg/day		3.0		1	death	survival	344.0			4	344.0		8	0.00	1	1	
Manueldis 1998	1998		Manueldis	Zaitsev	rats				wt	1	SY		0.01	50	i.c.	oral	peanut butter	peanut butter	dapsone	2 mg/kg/day		2.0		1	death	clinical signs	390.0			4	310.0		8	0.26	0.0001	0	
Manueldis 1998	1998		Manueldis	Zaitsev	rats				wt	1	SY		0.01	50	i.c.	oral	peanut butter	peanut butter	dapsone	2 mg/kg/day		2.0		1	death	survival	437.0			4	344.0		8	0.27	0.0001	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	DPG2-Fe3+	"3x/week for 4 weeks, dose not stated"				0	28	survival	119.0	35.4	12.5	8	81.6	5.1	18	0.46	0.0001	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	DPG2-Fe3+	"3x/week for 4 weeks, dose not stated"				28	56	survival	88.3	8.0	2.4	11	81.6	5.1	18	0.08	0.01	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	DPG2-Fe3+	"3x/week for 4 weeks, dose not stated"				56	84	survival	87.4	16.1	4.3	14	81.6	5.1	18	0.07	0.05	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	TMPP-Fe3+	"3x/week for 4 weeks, dose not stated"				0	28	survival	171.5	43.4	13.1	11	81.6	5.1	18	1.10	0.0001	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	TMPP-Fe3+	"3x/week for 4 weeks, dose not stated"				56	84	survival	84.0	24.0	7.6	10	81.6	5.1	18	0.03	0.68	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	PcTS	"3x/week for 4 weeks, dose not stated"				0	0	survival	114.0	25.5	8.5	9	81.6	5.1	18	0.40	0.0001	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	PcTS	"3x/week for 4 weeks, dose not stated"				0	28	survival	216.6	74.2	18.0	17	81.6	5.1	18	1.65	0.0001	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	PcTS	"3x/week for 4 weeks, dose not stated"				28	56	survival	86.3	7.4	1.8	17	81.6	5.1	18	0.06	0.03	0	
Priola 2000	2000		Priola	Caughey	mice		Tg7	Race 1995	hamster wt	4.5	263K				i.p.	i.p.	dmso	dmso	PcTS	"3x/week for 4 weeks, dose not stated"				56	84	survival	75.1	2.8	0.8	12	81.6	5.1	18	-0.08	0.0003	0	
