study	year	pubmed_link	full_text_link	first_author	last_author	animal_species	animal_strain	animal_sex	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	ld50_prions	infection_route	treatment_route	vehicle	control_compound	treatment_class	treatment	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_endpoint_dpi	treatment_sd	treatment_sem	treatment_n	treatment_attack_rate	censored_dpi	control_endpoint_dpi	control_sd	control_n	control_attack_rate	delay	reported_p	eyeballed	comments
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	110		survival	182.0	1.6		8	1		160.0	2.5	6	1	0.14	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	110		survival	173.0	3.1		8	1		160.0	2.5	6	1	0.08	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	110		survival	180.0	1.3		8	1		160.0	2.5	6	1	0.13	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	110		survival	190.0	2.2		8	1		160.0	2.5	6	1	0.19	0.01	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	140		survival	164.0	2.2		12	1		157.0	1.2	6	1	0.04	0.05	0	some mice died of toxicity
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	140		survival	167.0	2.5		11	1		157.0	1.2	6	1	0.06	0.05	0	some mice died of toxicity
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	140		survival	164.0	2.1		10	1		157.0	1.2	6	1	0.04	1	0	
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	140		survival	165.0	2.2		11	1		157.0	1.2	6	1	0.05	0.05	0	some mice died of toxicity
Demaimay 1997	1997	http://www.ncbi.nlm.nih.gov/pubmed/9371634/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC230278/pdf/719685.pdf	Demaimay	Dormont	hamsters	Syrian				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	140		survival	172.0	3.4		12	1		157.0	1.2	6	1	0.10	0.05	0	some mice died of toxicity
Adjou 1999	1999	http://www.ncbi.nlm.nih.gov/pubmed/10211979	http://vir.sgmjournals.org/content/80/4/1079.full.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	0		survival					1					1	0.46		0	
Adjou 1999	1999	http://www.ncbi.nlm.nih.gov/pubmed/10211979	http://vir.sgmjournals.org/content/80/4/1079.full.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0		survival					1					1	0.66		0	
Adjou 1999	1999	http://www.ncbi.nlm.nih.gov/pubmed/10211979	http://vir.sgmjournals.org/content/80/4/1079.full.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0		survival					1					1	0.75		0	
Adjou 1999	1999	http://www.ncbi.nlm.nih.gov/pubmed/10211979	http://vir.sgmjournals.org/content/80/4/1079.full.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	0		survival					1					1	1.00		0	
Adjou 1999	1999	http://www.ncbi.nlm.nih.gov/pubmed/10211979	http://vir.sgmjournals.org/content/80/4/1079.full.pdf	Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0		survival					1					1	1.00		0	
Adjou 2000	2000	http://www.ncbi.nlm.nih.gov/pubmed/10627386		Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	30		survival	99.0	1.4		7	1		80.0	1.2	5	1	0.24	0.01	0	
Adjou 2000	2000	http://www.ncbi.nlm.nih.gov/pubmed/10627386		Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	30		survival	116.0	0.9		6	1		80.0	1.2	5	1	0.45	0.01	0	
Adjou 2000	2000	http://www.ncbi.nlm.nih.gov/pubmed/10627386		Adjou	Dormont	hamsters	Syrian				wt	1	263K		0.01	50		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	30		survival	123.0	1.7		6	1		80.0	1.2	5	1	0.54	0.01	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	BSE (mouse-passaged)		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	171.0	0.5		10	1		165.0	1.4	10	1	0.04	0.05	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	BSE (mouse-passaged)		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	167.0	1.3		10	1		165.0	1.4	10	1	0.01	1	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	BSE (mouse-passaged)		0.01	20		i.c.	i.p.			small molecule	MS-8209	10 mg/kg  6x/wk	10	8.6	48.6	0	56	survival	174.0	1.5		10	1		165.0	1.4	10	1	0.05	0.05	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	BSE (mouse-passaged)		0.01	20		i.c.	i.p.			small molecule	MS-8209	25 mg/kg  6x/wk	25	21.4	121.6	0	56	survival	170.0	1.5		10	1		165.0	1.4	10	1	0.03	0.05	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	186.0	1.8		10	1		169.0	1.2	10	1	0.10	0.001	0	
Adjou 1996	1996	http://www.ncbi.nlm.nih.gov/pubmed/8837228		Adjou	Dormont	mice	C57BL/6				wt	1	C506M3		0.01	20		i.c.	i.p.			small molecule	MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	194.0	4.3		10	1		169.0	1.2	10	1	0.15	0.001	0	
Wagner 2013	2013	http://www.ncbi.nlm.nih.gov/pubmed/23604588	http://link.springer.com/content/pdf/10.1007%2Fs00401-013-1114-9.pdf	Wagner	Giese	mice	C57BL/6				wt	1	RML	49	0.01	30		i.c.	p.o.	dmso and peanut butter	dmso and peanut butter	small molecule	anle138b	10 mg/day	5	400.0	2270.3	0		survival	355.0			8	1		180.0		8	1	0.97	0.0001	0	
Wagner 2013	2013	http://www.ncbi.nlm.nih.gov/pubmed/23604588	http://link.springer.com/content/pdf/10.1007%2Fs00401-013-1114-9.pdf	Wagner	Giese	mice	C57BL/6				wt	1	RML	49	0.01	30		i.c.	p.o.	dmso and peanut butter	dmso and peanut butter	small molecule	anle138b	5 mg/day	5	200.0	1135.1	80		survival	242.0			8	1		168.0		8	1	0.44	0.0001	0	
Wagner 2013	2013	http://www.ncbi.nlm.nih.gov/pubmed/23604588	http://link.springer.com/content/pdf/10.1007%2Fs00401-013-1114-9.pdf	Wagner	Giese	mice	C57BL/6				wt	1	RML	49	0.01	30		i.c.	p.o.	dmso and peanut butter	dmso and peanut butter	small molecule	anle138b	5 mg/day	5	200.0	1135.1	120		survival	224.0			8	1		172.0		8	1	0.30	0.0001	0	
Karapteyan & Sferrazza 2013	2013	http://www.ncbi.nlm.nih.gov/pubmed/23576755		Karapetyan & Sferrazza	Lasmezas	mice	C57BL/6				wt	1	RML	56	0.01	20		i.c.	i.p.	50% dmso	50% dmso	small molecule	tacrolimus	1.5 mg/kg/day	1.5	1.5	8.5	20	50	survival	149.0			7	1		149.0	2.0	5	1	0.00	1	1	"data not given, they merely state it's not significant"
Karapteyan & Sferrazza 2013	2013	http://www.ncbi.nlm.nih.gov/pubmed/23576755		Karapetyan & Sferrazza	Lasmezas	mice	C57BL/6				wt	1	RML	56	0.01	20		i.c.	i.p.	50% dmso	50% dmso	small molecule	astemizole	3 mg/kg/day	3	3.0	17.0	20	50	survival	155.0	3.0			1		149.0	2.0	5	1	0.04	0.06	0	
Mok 2006	2006	http://www.ncbi.nlm.nih.gov/pubmed/16890918		Mok	Baier	mice	C57BL/6				wt	1	139A		0.001	20		i.c.	p.o.	food	food	small molecule	simvastatin	100 mg/kg/day	100	100.0	567.6	100		survival	194.0	6.0		10	1		178.0	7.0	10	1	0.09	0.0003	0	
Mok 2006	2006	http://www.ncbi.nlm.nih.gov/pubmed/16890918		Mok	Baier	mice	C57BL/6				wt	1	139A		0.0001	20		i.c.	p.o.	food	food	small molecule	simvastatin	100 mg/kg/day	100	100.0	567.6	100		survival	213.0	9.0		10	1		193.0	11.0	9	1	0.10	0.00003	0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807		Kempster		mice	C57BL/6				wt	1	ME7	77	0.01	20		i.c.	p.o.	water	water	small molecule	simvastatin	1 mg/kg/day	1	1.0	5.7	0		survival	193.0	1.1		8	1		183.0	2.2	8	1	0.05	0.05	0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807		Kempster		mice	C57BL/6				wt	1	ME7	77	0.01	20		i.c.	p.o.	water	water	small molecule	simvastatin	1 mg/kg/day	1	1.0	5.7	0		symptomatic	175.0			8	1		155.0		8	1	0.13		0	
Kempster 2007	2007	http://www.ncbi.nlm.nih.gov/pubmed/17496807		Kempster		mice	C57BL/6				wt	1	ME7	77	0.01	20		i.c.	p.o.	water	water	small molecule	simvastatin	1 mg/kg/day	1	1.0	5.7	123		survival	187.0	5.0		8	1		183.0	2.2	8	1	0.02	0.3	0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796		Haviv		mice	FVB/N				wt	1	RML		0.01	30		i.c.	p.o.	water	water	small molecule	simvastatin	2 escalating to 20 mg/kg/day	20	20.0	113.5	72		survival	166.7	2.2		16	1		148.4	3.9	24	1	0.12	0.001	0	"expts a,c,d - average is from a,b,c,d"
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796		Haviv		mice	FVB/N				wt	1	RML		0.01	30		i.c.	p.o.	water	water	small molecule	simvastatin	2 escalating to 20 mg/kg/day	20	20.0	113.5	41		survival	166.7	2.2		4	1		148.4	3.9	24	1	0.12	0.001	0	"expt b - average is from a,b,c,d"
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796		Haviv		mice	FVB/N				wt	1	RML		0.01	30		i.c.	p.o.	water	water	small molecule	simvastatin	2 mg/kg/day	2	2.0	11.4	72		survival	161.7	3.5		4	1		148.4	3.9	24	1	0.09		0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796		Haviv		mice	FVB/N				wt	1	RML		0.01	30		i.p.	p.o.	water	water	small molecule	simvastatin	2 mg/kg/day	2	2.0	11.4	0		survival	243.0	11.2		10	1		226.4	34.3	10	1	0.07		0	
Haviv 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18541796		Haviv		mice	FVB/N				wt	1	RML		0.01	30		i.p.	p.o.	water	water	small molecule	simvastatin	20 mg/kg/day	20	20.0	113.5	0		survival	239.1	2.5		9	1		226.4	34.3	10	1	0.06		0	
Vetrugno 2009	2009	http://www.ncbi.nlm.nih.gov/pubmed/19282428		Vetrugno		mice	C57BL/6				wt	1	139A		0.01			i.c.	p.o.	water	water	small molecule	pravastatin	200 mg/kg/day	200	200.0	1135.1	0		survival	194.3	7.5		13	1		177.4	4.4	10	1	0.10	0.0001	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	100		i.m.	i.m.	saline	none	small molecule	doxycycline	10 mg/kg one-time				0	0	survival	355.0			11	1		217.0		11	1	0.64	0.031	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	100		i.m.	i.p.	saline	none	small molecule	doxycycline	10 mg/kg per two days		5.0	47.3	0	40	survival	312.0			11	1		250.0		11	1	0.25	0.032	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	100		i.m.	i.p.	saline	none	small molecule	tetracycline	10 mg/kg per two days		5.0	47.3	0	40	survival	330.0			11	1		250.0		11	1	0.32	0.028	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	100		i.m.	i.p.	saline	none	small molecule	minocycline	10 mg/kg per two days		5.0	47.3	0	40	survival	453.0			11	1		250.0		11	1	0.81	0.004	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	100		s.c.	i.p.	saline	none	small molecule	doxycycline	10 mg/kg per two days		5.0	47.3	4	44	survival	823.0			11	1		611.0		11	1	0.35	0.004	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	20		i.c.	i.c.	liposomes	none	small molecule	doxycycline	25 ug/20 uL one-time				30	30	survival	134.0			11	1		122.0		11	1	0.10	0.023	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	20		i.c.	i.c.	liposomes	none	small molecule	doxycycline	25 ug/20 uL one-time				60	60	survival	140.5			11	1		130.0		11	1	0.08	0.037	0	
Luigi 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18365024/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2268013/	Luigi	Salmona	hamsters	Syrian				wt	1	263K	49	0.0001	20		i.c.	i.c.	liposomes	none	small molecule	doxycycline	25 ug/20 uL one-time				60	60	survival	144.0			11	1		130.0		11	1	0.11	0.063	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.001	30		i.c.	p.o.	food	food	small molecule	ibuprofen	100 mg/kg/day		100.0	567.6	100		survival	172.0	8.9		11	1		188.0	9.9	12	1	-0.09		0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.001	30		i.c.	p.o.	food	food	small molecule	dapsone	16.75 mg/kg/day		16.8	95.1	100		survival	189.0	11.4		9	1		188.0	9.9	12	1	0.01	1	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.001	30		i.c.	p.o.	food	food	small molecule	minocycline	200 mg/kg/day		200.0	1135.1	100		survival	178.0	5.7		17	1		175.0	8.4	17	1	0.02	1	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.001	30		i.c.	p.o.	food	food	small molecule	curcumin	500 mg/kg/day		500.0	2837.8	100		survival	174.0	9.0		17	1		174.0	8.6	16	1	0.00	1	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.001	30		i.c.	p.o.	food	food	small molecule	memantine	30 mg/kg/day		30.0	170.3	100		survival	196.0	11.7		8	1		181.0	7.2	8	1	0.08	0.01	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.0001	30		i.c.	p.o.	food	food	small molecule	ibuprofen	100 mg/kg/day		100.0	567.6	100		survival	191.0	17.3		12	1		196.0	10.1	13	1	-0.03	1	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.0001	30		i.c.	p.o.	food	food	small molecule	curcumin	50 mg/kg/day		50.0	283.8	100		survival	208.0	8.4		12	1		196.0	10.1	13	1	0.06	0.01	0	
Riemer 2008	2008	http://www.ncbi.nlm.nih.gov/pubmed/18198391	http://vir.sgmjournals.org/content/89/2/594.long	Riemer	Baier	mice	C57BL/6				wt	1	139A	35	0.0001	30		i.c.	p.o.	food	food	small molecule	curcumin	500 mg/kg/day		500.0	2837.8	100		survival	192.0	9.7		14	1		192.0	9.2	16	1	0.00	1	0	
Caughey 2003	2003	http://www.ncbi.nlm.nih.gov/pubmed/12692251/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC153975/	Caughey	Baron	hamsters					wt	1	263K		0.01	50		i.c.	p.o.	food	food	small molecule	curcumin	.2% wt/wt				-14		survival	85.3	4.0			1		82.6	3.9		1	0.03	1	0	
Caughey 2003	2003	http://www.ncbi.nlm.nih.gov/pubmed/12692251/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC153975/	Caughey	Baron	hamsters					wt	1	263K		0.01	50		i.c.	p.o.	food	food	small molecule	curcumin	.2% wt/wt				0		survival	84.1	4.3			1		82.6	3.9		1	0.02	1	0	
Caughey 2003	2003	http://www.ncbi.nlm.nih.gov/pubmed/12692251/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC153975/	Caughey	Baron	hamsters					wt	1	263K		0.01	50		i.c.	p.o.	food	food	small molecule	curcumin	.2% wt/wt				45		survival	83.5	4.1			1		82.6	3.9		1	0.01	1	0	
Caughey 2003	2003	http://www.ncbi.nlm.nih.gov/pubmed/12692251/	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC153975/	Caughey	Baron	hamsters					wt	1	263K		0.01	50		i.c.	p.o.	food	food	small molecule	curcumin	2% wt/wt				45		survival	85.4	4.7			1		82.6	3.9		1	0.03	1	0	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	1ug/kg/day		0.0	0.0	10	38	survival	51.6				1		51.6	1.8		1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	11ug/kg/day		0.0	0.1	10	38	survival	60.0				1		51.6	1.8		1	0.16	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	110ug/kg/day		0.1	0.6	10	38	survival	80.0				1		51.6	1.8		1	0.55	0.05	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	460ug/kg/day		0.5	2.6	10	38	survival	123.0				1		51.6	1.8		1	1.38	0.05	0	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	1ug/kg/day		0.0	0.0	35	63	survival	51.0				1		51.0	1.8		1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	11ug/kg/day		0.0	0.1	35	63	survival	51.0				1		51.0	1.8		1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	110ug/kg/day		0.1	0.6	35	63	survival	51.0				1		51.0	1.8		1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	460ug/kg/day		0.5	2.6	35	63	survival	87.0				1		51.0	1.8		1	0.71	0.05	0	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	110ug/kg/day		0.1	0.6	42	70	survival	49.0				1		49.0			1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	230ug/kg/day		0.2	1.3	42	70	survival	63.0				1		49.0			1	0.29	0.05	0	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	345ug/kg/day		0.3	2.0	42	70	survival	49.0				1		49.0			1	0.00	1	1	
Doh-Ura 2004	2004	http://www.ncbi.nlm.nih.gov/pubmed/15113880	http://www.ncbi.nlm.nih.gov/pmc/articles/PMC400350/	Doh-Ura	Iwaki	mice			Tg7	Race 1995 http://www.ncbi.nlm.nih.gov/pubmed/7576660 http://www.ncbi.nlm.nih.gov/pubmed/10623745	hamster wt	4.5	263K		0.01	20		i.c.	i.c.	pbs	water	small molecule	pentosan polysulfate	460ug/kg/day		0.5	2.6	42	70	survival	49.0				1		49.0			1	0.00	1	1	
